Customer ID,Category,Purchase Amount (USD),Review Rating,Discount Applied,Frequency of Purchases,Cluster
1,Clothing,53,3.1,Yes,Fortnightly,2
2,Clothing,64,3.1,Yes,Fortnightly,2
3,Clothing,73,3.1,Yes,Weekly,2
4,Footwear,90,3.5,Yes,Weekly,0
5,Clothing,49,2.7,Yes,Annually,2
6,Footwear,20,2.9,Yes,Weekly,1
7,Clothing,85,3.2,Yes,Quarterly,0
8,Clothing,34,3.2,Yes,Weekly,1
9,Outerwear,97,2.6,Yes,Annually,0
10,Accessories,31,4.8,Yes,Quarterly,1
11,Footwear,34,4.1,Yes,Bi-Weekly,1
12,Clothing,68,4.9,Yes,Fortnightly,2
13,Outerwear,72,4.5,Yes,Fortnightly,2
14,Clothing,51,4.7,Yes,Weekly,2
15,Outerwear,53,4.7,Yes,Weekly,2
16,Clothing,81,2.8,Yes,Monthly,0
17,Accessories,36,4.1,Yes,Bi-Weekly,1
18,Clothing,38,4.7,Yes,Quarterly,1
19,Clothing,48,4.6,Yes,Weekly,2
20,Clothing,90,3.3,Yes,Bi-Weekly,0
21,Clothing,51,2.8,Yes,Every 3 Months,2
22,Clothing,62,4.1,Yes,Quarterly,2
23,Clothing,37,3.2,Yes,Annually,1
24,Clothing,88,4.4,Yes,Weekly,0
25,Outerwear,22,2.9,Yes,Weekly,1
26,Clothing,25,3.6,Yes,Annually,1
27,Accessories,20,3.6,Yes,Annually,1
28,Clothing,56,5.0,Yes,Every 3 Months,2
29,Accessories,94,4.4,Yes,Every 3 Months,0
30,Clothing,48,4.1,Yes,Weekly,2
31,Accessories,31,4.7,Yes,Monthly,1
32,Clothing,79,4.7,Yes,Monthly,0
33,Outerwear,67,4.9,Yes,Annually,2
34,Clothing,38,3.3,Yes,Quarterly,1
35,Clothing,91,4.6,Yes,Quarterly,0
36,Clothing,33,4.0,Yes,Bi-Weekly,1
37,Clothing,69,4.6,Yes,Fortnightly,2
38,Clothing,45,2.8,Yes,Weekly,1
39,Clothing,37,3.7,Yes,Every 3 Months,1
40,Clothing,60,4.2,Yes,Monthly,2
41,Accessories,76,4.6,Yes,Quarterly,0
42,Accessories,39,4.5,Yes,Annually,1
43,Outerwear,100,4.1,Yes,Annually,0
44,Accessories,69,3.7,Yes,Fortnightly,2
45,Accessories,53,4.6,Yes,Weekly,2
46,Clothing,21,2.9,Yes,Annually,1
47,Clothing,43,2.9,Yes,Quarterly,1
48,Accessories,54,4.5,Yes,Weekly,2
49,Clothing,55,2.7,Yes,Monthly,2
50,Clothing,30,4.6,Yes,Bi-Weekly,1
51,Clothing,28,3.7,Yes,Bi-Weekly,1
52,Clothing,59,4.7,Yes,Quarterly,2
53,Clothing,20,2.6,Yes,Weekly,1
54,Clothing,24,3.9,Yes,Weekly,1
55,Outerwear,94,4.2,Yes,Bi-Weekly,0
56,Outerwear,28,3.0,Yes,Annually,1
57,Accessories,73,4.7,Yes,Weekly,2
58,Outerwear,64,4.4,Yes,Fortnightly,2
59,Clothing,54,4.2,Yes,Monthly,2
60,Accessories,79,4.6,Yes,Weekly,0
61,Clothing,37,4.0,Yes,Weekly,1
62,Accessories,68,4.7,Yes,Every 3 Months,2
63,Footwear,21,3.8,Yes,Fortnightly,1
64,Accessories,79,2.7,Yes,Weekly,0
65,Footwear,83,4.8,Yes,Fortnightly,0
66,Accessories,36,4.8,Yes,Every 3 Months,1
67,Clothing,94,4.7,Yes,Every 3 Months,0
68,Outerwear,33,4.4,Yes,Monthly,1
69,Accessories,46,3.9,Yes,Every 3 Months,1
70,Accessories,70,4.4,Yes,Weekly,2
71,Accessories,29,4.2,Yes,Every 3 Months,1
72,Clothing,48,2.9,Yes,Annually,2
73,Clothing,26,2.9,Yes,Every 3 Months,1
74,Clothing,85,2.7,Yes,Bi-Weekly,0
75,Accessories,58,4.5,Yes,Monthly,2
76,Accessories,85,2.7,Yes,Annually,0
77,Accessories,43,4.2,Yes,Monthly,1
78,Clothing,53,3.3,Yes,Fortnightly,2
79,Clothing,91,4.7,Yes,Fortnightly,0
80,Outerwear,96,2.6,Yes,Every 3 Months,0
81,Footwear,72,3.3,Yes,Every 3 Months,2
82,Footwear,96,2.6,Yes,Every 3 Months,0
83,Clothing,28,4.0,Yes,Every 3 Months,1
84,Clothing,40,4.1,Yes,Weekly,1
85,Outerwear,32,4.4,Yes,Every 3 Months,1
86,Accessories,95,4.5,Yes,Bi-Weekly,0
87,Clothing,41,3.7,Yes,Bi-Weekly,1
88,Footwear,53,3.7,Yes,Fortnightly,2
89,Clothing,47,3.5,Yes,Monthly,2
90,Outerwear,83,3.6,Yes,Quarterly,0
91,Accessories,48,2.9,Yes,Monthly,2
92,Accessories,99,4.6,Yes,Every 3 Months,0
93,Outerwear,87,4.4,Yes,Every 3 Months,0
94,Clothing,62,4.5,Yes,Weekly,2
95,Clothing,76,4.6,Yes,Weekly,0
96,Footwear,100,3.8,Yes,Monthly,0
97,Accessories,73,3.6,Yes,Every 3 Months,2
98,Footwear,92,4.8,Yes,Annually,0
99,Clothing,67,2.6,Yes,Annually,2
100,Clothing,40,3.7,Yes,Quarterly,1
101,Accessories,98,2.7,Yes,Fortnightly,0
102,Outerwear,85,4.6,Yes,Bi-Weekly,0
103,Clothing,67,4.8,Yes,Quarterly,2
104,Footwear,89,4.0,Yes,Bi-Weekly,0
105,Accessories,24,4.4,Yes,Monthly,1
106,Accessories,96,3.6,Yes,Annually,0
107,Outerwear,35,3.7,Yes,Monthly,1
108,Footwear,67,3.1,Yes,Fortnightly,2
109,Clothing,79,3.4,Yes,Bi-Weekly,0
110,Clothing,85,2.6,Yes,Fortnightly,0
111,Accessories,26,4.0,Yes,Fortnightly,1
112,Accessories,75,5.0,Yes,Annually,0
113,Accessories,65,4.3,Yes,Bi-Weekly,2
114,Accessories,54,3.1,Yes,Quarterly,2
115,Outerwear,95,3.7,Yes,Weekly,0
116,Clothing,94,3.8,Yes,Every 3 Months,0
117,Footwear,86,3.4,Yes,Annually,0
118,Footwear,32,4.6,Yes,Fortnightly,1
119,Clothing,45,4.8,Yes,Bi-Weekly,1
120,Outerwear,76,4.3,Yes,Annually,0
121,Accessories,84,4.0,Yes,Annually,0
122,Clothing,72,4.2,Yes,Fortnightly,2
123,Accessories,40,4.8,Yes,Fortnightly,1
124,Clothing,89,3.1,Yes,Weekly,0
125,Clothing,86,3.1,Yes,Annually,0
126,Clothing,54,3.6,Yes,Every 3 Months,2
127,Clothing,36,3.9,Yes,Every 3 Months,1
128,Clothing,89,4.8,Yes,Weekly,0
129,Accessories,32,4.7,Yes,Fortnightly,1
130,Clothing,67,4.2,Yes,Bi-Weekly,2
131,Accessories,39,3.7,Yes,Fortnightly,1
132,Clothing,29,3.9,Yes,Weekly,1
133,Accessories,58,4.7,Yes,Weekly,2
134,Clothing,65,2.5,Yes,Annually,2
135,Accessories,94,4.9,Yes,Monthly,0
136,Footwear,81,4.1,Yes,Quarterly,0
137,Clothing,86,3.3,Yes,Quarterly,0
138,Footwear,43,4.7,Yes,Weekly,1
139,Clothing,29,4.4,Yes,Weekly,1
140,Outerwear,95,3.8,Yes,Annually,0
141,Clothing,28,3.9,Yes,Weekly,1
142,Accessories,46,4.9,Yes,Weekly,1
143,Outerwear,58,3.1,Yes,Fortnightly,2
144,Outerwear,48,2.7,Yes,Quarterly,2
145,Footwear,43,3.2,Yes,Monthly,1
146,Accessories,95,4.5,Yes,Quarterly,0
147,Clothing,30,4.0,Yes,Fortnightly,1
148,Footwear,64,3.5,Yes,Fortnightly,2
149,Accessories,90,2.6,Yes,Annually,0
150,Clothing,76,3.2,Yes,Monthly,0
151,Footwear,96,4.9,Yes,Every 3 Months,0
152,Accessories,47,4.5,Yes,Annually,2
153,Clothing,85,4.3,Yes,Annually,0
154,Clothing,55,3.2,Yes,Annually,2
155,Clothing,98,3.6,Yes,Quarterly,0
156,Clothing,77,4.3,Yes,Quarterly,0
157,Clothing,26,4.0,Yes,Annually,1
158,Accessories,68,3.0,Yes,Fortnightly,2
159,Clothing,73,4.1,Yes,Monthly,2
160,Accessories,27,3.8,Yes,Every 3 Months,1
161,Accessories,23,4.6,Yes,Monthly,1
162,Accessories,49,3.0,Yes,Fortnightly,2
163,Accessories,74,3.0,Yes,Bi-Weekly,2
164,Clothing,67,3.4,Yes,Weekly,2
165,Accessories,65,2.6,Yes,Fortnightly,2
166,Accessories,60,2.8,Yes,Monthly,2
167,Footwear,31,4.0,Yes,Monthly,1
168,Accessories,27,4.0,Yes,Every 3 Months,1
169,Footwear,80,3.0,Yes,Fortnightly,0
170,Outerwear,30,3.3,Yes,Every 3 Months,1
171,Clothing,25,2.6,Yes,Bi-Weekly,1
172,Clothing,35,3.6,Yes,Weekly,1
173,Accessories,67,3.9,Yes,Bi-Weekly,2
174,Accessories,46,3.4,Yes,Annually,1
175,Footwear,35,3.5,Yes,Annually,1
176,Outerwear,86,2.8,Yes,Annually,0
177,Accessories,81,2.7,Yes,Quarterly,0
178,Clothing,42,3.7,Yes,Monthly,1
179,Clothing,43,4.3,Yes,Quarterly,1
180,Footwear,31,4.9,Yes,Fortnightly,1
181,Footwear,81,3.3,Yes,Fortnightly,0
182,Clothing,61,4.7,Yes,Weekly,2
183,Accessories,96,2.8,Yes,Annually,0
184,Clothing,29,3.6,Yes,Weekly,1
185,Footwear,33,3.0,Yes,Fortnightly,1
186,Clothing,32,4.5,Yes,Fortnightly,1
187,Accessories,56,2.9,Yes,Annually,2
188,Footwear,94,3.3,Yes,Bi-Weekly,0
189,Clothing,53,3.1,Yes,Bi-Weekly,2
190,Clothing,82,4.4,Yes,Weekly,0
191,Outerwear,70,3.0,Yes,Quarterly,2
192,Accessories,76,3.9,Yes,Every 3 Months,0
193,Footwear,29,2.9,Yes,Bi-Weekly,1
194,Accessories,100,3.0,Yes,Annually,0
195,Accessories,94,3.1,Yes,Quarterly,0
196,Outerwear,25,4.3,Yes,Monthly,1
197,Footwear,88,3.9,Yes,Fortnightly,0
198,Accessories,78,3.2,Yes,Monthly,0
199,Accessories,45,4.8,Yes,Fortnightly,1
200,Accessories,73,3.8,Yes,Weekly,2
201,Clothing,61,3.3,Yes,Monthly,2
202,Clothing,22,4.3,Yes,Annually,1
203,Accessories,38,2.7,Yes,Annually,1
204,Accessories,38,3.2,Yes,Weekly,1
205,Footwear,100,4.0,Yes,Bi-Weekly,0
206,Clothing,64,3.0,Yes,Weekly,2
207,Clothing,55,4.2,Yes,Fortnightly,2
208,Accessories,91,2.9,Yes,Bi-Weekly,0
209,Clothing,38,4.1,Yes,Monthly,1
210,Footwear,97,3.2,Yes,Every 3 Months,0
211,Outerwear,22,3.0,Yes,Fortnightly,1
212,Clothing,92,4.2,Yes,Fortnightly,0
213,Accessories,84,4.2,Yes,Annually,0
214,Accessories,93,4.4,Yes,Every 3 Months,0
215,Outerwear,50,4.2,Yes,Every 3 Months,2
216,Accessories,64,2.8,Yes,Bi-Weekly,2
217,Clothing,61,3.7,Yes,Weekly,2
218,Accessories,48,3.5,Yes,Annually,2
219,Clothing,45,2.9,Yes,Quarterly,1
220,Accessories,88,3.0,Yes,Fortnightly,0
221,Footwear,57,3.7,Yes,Fortnightly,2
222,Accessories,68,4.4,Yes,Quarterly,2
223,Accessories,94,4.5,Yes,Fortnightly,0
224,Clothing,41,4.8,Yes,Annually,1
225,Clothing,83,2.9,Yes,Every 3 Months,0
226,Outerwear,22,3.2,Yes,Annually,1
227,Footwear,74,3.3,Yes,Monthly,2
