Customer ID,Category,Purchase Amount (USD),Review Rating,Discount Applied,Frequency of Purchases
1,Clothing,53,3.1,Yes,Fortnightly
2,Clothing,64,3.1,Yes,Fortnightly
3,Clothing,73,3.1,Yes,Weekly
4,Footwear,90,3.5,Yes,Weekly
5,Clothing,49,2.7,Yes,Annually
6,Footwear,20,2.9,Yes,Weekly
7,Clothing,85,3.2,Yes,Quarterly
8,Clothing,34,3.2,Yes,Weekly
9,Outerwear,97,2.6,Yes,Annually
10,Accessories,31,4.8,Yes,Quarterly
11,Footwear,34,4.1,Yes,Bi-Weekly
12,Clothing,68,4.9,Yes,Fortnightly
13,Outerwear,72,4.5,Yes,Fortnightly
14,Clothing,51,4.7,Yes,Weekly
15,Outerwear,53,4.7,Yes,Weekly
16,Clothing,81,2.8,Yes,Monthly
17,Accessories,36,4.1,Yes,Bi-Weekly
18,Clothing,38,4.7,Yes,Quarterly
19,Clothing,48,4.6,Yes,Weekly
20,Clothing,90,3.3,Yes,Bi-Weekly
21,Clothing,51,2.8,Yes,Every 3 Months
22,Clothing,62,4.1,Yes,Quarterly
23,Clothing,37,3.2,Yes,Annually
24,Clothing,88,4.4,Yes,Weekly
25,Outerwear,22,2.9,Yes,Weekly
26,Clothing,25,3.6,Yes,Annually
27,Accessories,20,3.6,Yes,Annually
28,Clothing,56,5.0,Yes,Every 3 Months
29,Accessories,94,4.4,Yes,Every 3 Months
30,Clothing,48,4.1,Yes,Weekly
31,Accessories,31,4.7,Yes,Monthly
32,Clothing,79,4.7,Yes,Monthly
33,Outerwear,67,4.9,Yes,Annually
34,Clothing,38,3.3,Yes,Quarterly
35,Clothing,91,4.6,Yes,Quarterly
36,Clothing,33,4.0,Yes,Bi-Weekly
37,Clothing,69,4.6,Yes,Fortnightly
38,Clothing,45,2.8,Yes,Weekly
39,Clothing,37,3.7,Yes,Every 3 Months
40,Clothing,60,4.2,Yes,Monthly
41,Accessories,76,4.6,Yes,Quarterly
42,Accessories,39,4.5,Yes,Annually
43,Outerwear,100,4.1,Yes,Annually
44,Accessories,69,3.7,Yes,Fortnightly
45,Accessories,53,4.6,Yes,Weekly
46,Clothing,21,2.9,Yes,Annually
47,Clothing,43,2.9,Yes,Quarterly
48,Accessories,54,4.5,Yes,Weekly
49,Clothing,55,2.7,Yes,Monthly
50,Clothing,30,4.6,Yes,Bi-Weekly
51,Clothing,28,3.7,Yes,Bi-Weekly
52,Clothing,59,4.7,Yes,Quarterly
53,Clothing,20,2.6,Yes,Weekly
54,Clothing,24,3.9,Yes,Weekly
55,Outerwear,94,4.2,Yes,Bi-Weekly
56,Outerwear,28,3.0,Yes,Annually
57,Accessories,73,4.7,Yes,Weekly
58,Outerwear,64,4.4,Yes,Fortnightly
59,Clothing,54,4.2,Yes,Monthly
60,Accessories,79,4.6,Yes,Weekly
61,Clothing,37,4.0,Yes,Weekly
62,Accessories,68,4.7,Yes,Every 3 Months
63,Footwear,21,3.8,Yes,Fortnightly
64,Accessories,79,2.7,Yes,Weekly
65,Footwear,83,4.8,Yes,Fortnightly
66,Accessories,36,4.8,Yes,Every 3 Months
67,Clothing,94,4.7,Yes,Every 3 Months
68,Outerwear,33,4.4,Yes,Monthly
69,Accessories,46,3.9,Yes,Every 3 Months
70,Accessories,70,4.4,Yes,Weekly
71,Accessories,29,4.2,Yes,Every 3 Months
72,Clothing,48,2.9,Yes,Annually
73,Clothing,26,2.9,Yes,Every 3 Months
74,Clothing,85,2.7,Yes,Bi-Weekly
75,Accessories,58,4.5,Yes,Monthly
76,Accessories,85,2.7,Yes,Annually
77,Accessories,43,4.2,Yes,Monthly
78,Clothing,53,3.3,Yes,Fortnightly
79,Clothing,91,4.7,Yes,Fortnightly
80,Outerwear,96,2.6,Yes,Every 3 Months
81,Footwear,72,3.3,Yes,Every 3 Months
82,Footwear,96,2.6,Yes,Every 3 Months
83,Clothing,28,4.0,Yes,Every 3 Months
84,Clothing,40,4.1,Yes,Weekly
85,Outerwear,32,4.4,Yes,Every 3 Months
86,Accessories,95,4.5,Yes,Bi-Weekly
87,Clothing,41,3.7,Yes,Bi-Weekly
88,Footwear,53,3.7,Yes,Fortnightly
89,Clothing,47,3.5,Yes,Monthly
90,Outerwear,83,3.6,Yes,Quarterly
91,Accessories,48,2.9,Yes,Monthly
92,Accessories,99,4.6,Yes,Every 3 Months
